time,chi2,lnr,chi2_n,lnr_n,cyber_score,attack_stage,is_attack,Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,hmm_score,hmm_detect
0,8863332.270760212,2049.182618899128,0.0043159761331715,0.0625643477581622,0.270517800673861,0,0,1.0,-16.9,-4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.38,16.9,0.0,0.0,4.48,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.50202673003717,0
1,1168642.297245787,547.92756874886,0.0002916825630362,0.005595548923377,0.2998826895034506,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.68,0.0,0.0,-3.7,0.0,0.0,-2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,0.0,0.0,3.7,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,-5.68,5.68,-3.7,0.0,0.0,0.0,-2.87,6.57,13.165630559348052,0
2,7222994.195332728,1340.5721259680652,0.0034580855628545,0.0356743875079256,0.4828911218392757,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.83,12.83,5.21,0.0,9.95191891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,-12.83,-5.21,0.0,-9.95191891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.04,-5.21,0.0,9.95191891891892,-22.78191891891892,13.40475714373444,0
3,6380822.774261693,1216.1927859956877,0.0030176331149412,0.0309545088987709,0.1021173868497445,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.83,11.83,5.21,0.0,9.176243243243244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,-11.83,-5.21,0.0,-9.176243243243244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04,-5.21,0.0,9.176243243243244,-21.00624324324324,14.77940411712647,0
4,1765292.166993496,769.0995758995205,0.0006037281740631,0.0139884622940867,0.2853397141514633,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,-5.03,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.97,5.03,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,-9.0,0.0,0.0,3.7,0.0,5.03,0.0,0.0,-3.7,14.89454295868395,0
5,610927.7930406749,400.4723607859102,0.0,0.0,0.2447862255462015,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,0.0,-2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,2.87,-6.57,15.378900239298654,0
6,55993119.92095967,4854.039473368709,0.0289646756981149,0.169001509043083,0.56969722690454,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.58104529616725,-17.58104529616725,0.0,0.0,0.0,-3.7,0.0,-33.92814814154718,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.58104529616725,17.58104529616725,0.0,0.0,0.0,3.7,0.0,33.92814814154718,-3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,0.0,-51.50919343771443,55.20919343771443,0.0,16.03268795111807,0
7,16358040.569550227,2918.219182245505,0.0082356800485567,0.095542068067844,0.1637936947888933,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.58104529616725,0.0,0.0,0.0,-3.7,0.0,-11.44599303135888,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.58104529616725,0.0,0.0,0.0,3.7,0.0,11.44599303135888,-3.7,0.0,0.0,0.0,0.0,0.0,-17.58104529616725,0.0,0.0,-3.7,0.0,0.0,-11.44599303135888,32.72703832752613,0.0,18.88238042763072,0
8,11469235.082584264,2368.3382161114296,0.0056788533856817,0.0746754883753168,0.3871582366807067,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.022876852145145,-17.58104529616725,0.0,0.0,0.0,-3.7,0.0,-5.022876852145145,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022876852145145,17.58104529616725,0.0,0.0,0.0,3.7,0.0,5.022876852145145,-3.7,0.0,0.0,0.0,0.0,0.0,-22.60392214831239,0.0,0.0,-3.7,0.0,0.0,0.0,26.30392214831239,0.0,18.972753189363594,0
9,22237880.21027356,3358.636293987999,0.011310813801968,0.112254773773476,0.1499970258734617,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,-17.58104529616725,0.0,0.0,0.0,-3.7,0.0,-16.44599303135888,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91,17.58104529616725,0.0,0.0,0.0,3.7,0.0,16.44599303135888,-3.7,0.0,0.0,0.0,0.0,0.0,-13.67104529616725,0.0,0.0,-3.7,0.0,0.0,-20.35599303135889,37.72703832752613,0.0,19.362617197767378,0
